simulating fixed probability counter with p=0.5 20 times for test chain of size 1000
Exact occurrences of the chain:
r: 373
o: 179
i: 91
e: 82
a: 70
g: 52
m: 39
d: 31
l: 29
u: 28
f: 26

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   204                408           373                 1            1  109.3833780160858%                 35  9.383378016085791%
o                    90                180           179                 2            2  100.5586592178771%                  1  0.5586592178770949%
i                    48                 96            91                 3            3  105.4945054945055%                  5  5.4945054945054945%
e                    42                 84            82                 4            4  102.4390243902439%                  2  2.4390243902439024%
a                    36                 72            70                 5            5  102.85714285714285%                 2  2.857142857142857%
g                    25                 50            52                 6            6  96.15384615384616%                  2  3.8461538461538463%
m                    20                 40            39                 7            7  102.56410256410255%                 1  2.564102564102564%
d                    18                 36            31                 8            8  116.12903225806453%                 5  16.129032258064516%
l                    14                 28            29                 9            9  96.55172413793103%                  1  3.4482758620689653%
f                    10                 20            26                10           11  76.92307692307693%                  6  23.076923076923077%
u                     9                 18            28                11           10  64.28571428571429%                 10  35.714285714285715%


######################## Simulation nr 2 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   190                380           373                 1            1  101.87667560321717%                 7  1.876675603217158%
o                    96                192           179                 2            2  107.26256983240224%                13  7.262569832402235%
i                    42                 84            91                 3            3  92.3076923076923%                   7  7.6923076923076925%
e                    42                 84            82                 4            4  102.4390243902439%                  2  2.4390243902439024%
a                    41                 82            70                 5            5  117.14285714285715%                12  17.142857142857142%
m                    27                 54            39                 6            7  138.46153846153845%                15  38.46153846153847%
g                    22                 44            52                 7            6  84.61538461538461%                  8  15.384615384615385%
d                    16                 32            31                 8            8  103.2258064516129%                  1  3.225806451612903%
u                    14                 28            28                 9           10  100.0%                              0  0.0%
f                    13                 26            26                10           11  100.0%                              0  0.0%
l                    11                 22            29                11            9  75.86206896551724%                  7  24.137931034482758%


######################## Simulation nr 3 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   204                408           373                 1            1  109.3833780160858%                 35  9.383378016085791%
o                    93                186           179                 2            2  103.91061452513965%                 7  3.910614525139665%
i                    45                 90            91                 3            3  98.9010989010989%                   1  1.098901098901099%
e                    44                 88            82                 4            4  107.31707317073172%                 6  7.317073170731707%
a                    30                 60            70                 5            5  85.71428571428571%                 10  14.285714285714285%
g                    25                 50            52                 6            6  96.15384615384616%                  2  3.8461538461538463%
m                    20                 40            39                 7            7  102.56410256410255%                 1  2.564102564102564%
d                    17                 34            31                 8            8  109.6774193548387%                  3  9.67741935483871%
l                    15                 30            29                 9            9  103.44827586206897%                 1  3.4482758620689653%
u                    14                 28            28                10           10  100.0%                              0  0.0%
f                    13                 26            26                11           11  100.0%                              0  0.0%


######################## Simulation nr 4 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   197                394           373                 1            1  105.63002680965148%                21  5.630026809651475%
o                    91                182           179                 2            2  101.67597765363128%                 3  1.675977653631285%
i                    44                 88            91                 3            3  96.7032967032967%                   3  3.296703296703297%
e                    33                 66            82                 4            4  80.48780487804879%                 16  19.51219512195122%
a                    28                 56            70                 5            5  80.0%                              14  20.0%
g                    28                 56            52                 6            6  107.6923076923077%                  4  7.6923076923076925%
d                    17                 34            31                 7            8  109.6774193548387%                  3  9.67741935483871%
m                    17                 34            39                 8            7  87.17948717948718%                  5  12.82051282051282%
u                    17                 34            28                 9           10  121.42857142857142%                 6  21.428571428571427%
l                    15                 30            29                10            9  103.44827586206897%                 1  3.4482758620689653%
f                    12                 24            26                11           11  92.3076923076923%                   2  7.6923076923076925%


######################## Simulation nr 5 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   187                374           373                 1            1  100.26809651474531%                 1  0.2680965147453083%
o                    84                168           179                 2            2  93.85474860335195%                 11  6.145251396648044%
e                    45                 90            82                 3            4  109.75609756097562%                 8  9.75609756097561%
i                    43                 86            91                 4            3  94.5054945054945%                   5  5.4945054945054945%
a                    40                 80            70                 5            5  114.28571428571428%                10  14.285714285714285%
g                    25                 50            52                 6            6  96.15384615384616%                  2  3.8461538461538463%
m                    19                 38            39                 7            7  97.43589743589743%                  1  2.564102564102564%
d                    17                 34            31                 8            8  109.6774193548387%                  3  9.67741935483871%
l                    15                 30            29                 9            9  103.44827586206897%                 1  3.4482758620689653%
f                    13                 26            26                10           11  100.0%                              0  0.0%
u                    13                 26            28                11           10  92.85714285714286%                  2  7.142857142857142%


######################## Simulation nr 6 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   175                350           373                 1            1  93.8337801608579%                  23  6.166219839142091%
o                    89                178           179                 2            2  99.4413407821229%                   1  0.5586592178770949%
i                    46                 92            91                 3            3  101.0989010989011%                  1  1.098901098901099%
e                    45                 90            82                 4            4  109.75609756097562%                 8  9.75609756097561%
a                    26                 52            70                 5            5  74.28571428571429%                 18  25.71428571428571%
g                    25                 50            52                 6            6  96.15384615384616%                  2  3.8461538461538463%
m                    24                 48            39                 7            7  123.07692307692308%                 9  23.076923076923077%
u                    15                 30            28                 8           10  107.14285714285714%                 2  7.142857142857142%
l                    12                 24            29                 9            9  82.75862068965517%                  5  17.24137931034483%
d                    12                 24            31                10            8  77.41935483870968%                  7  22.58064516129032%
f                    11                 22            26                11           11  84.61538461538461%                  4  15.384615384615385%


######################## Simulation nr 7 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   181                362           373                 1            1  97.05093833780161%                 11  2.949061662198391%
o                    96                192           179                 2            2  107.26256983240224%                13  7.262569832402235%
i                    45                 90            91                 3            3  98.9010989010989%                   1  1.098901098901099%
e                    42                 84            82                 4            4  102.4390243902439%                  2  2.4390243902439024%
a                    37                 74            70                 5            5  105.71428571428572%                 4  5.714285714285714%
g                    22                 44            52                 6            6  84.61538461538461%                  8  15.384615384615385%
m                    19                 38            39                 7            7  97.43589743589743%                  1  2.564102564102564%
u                    18                 36            28                 8           10  128.57142857142858%                 8  28.57142857142857%
d                    16                 32            31                 9            8  103.2258064516129%                  1  3.225806451612903%
l                    14                 28            29                10            9  96.55172413793103%                  1  3.4482758620689653%
f                    10                 20            26                11           11  76.92307692307693%                  6  23.076923076923077%


######################## Simulation nr 8 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   195                390           373                 1            1  104.55764075067025%                17  4.557640750670242%
o                    84                168           179                 2            2  93.85474860335195%                 11  6.145251396648044%
i                    48                 96            91                 3            3  105.4945054945055%                  5  5.4945054945054945%
a                    35                 70            70                 4            5  100.0%                              0  0.0%
e                    31                 62            82                 5            4  75.60975609756098%                 20  24.390243902439025%
g                    23                 46            52                 6            6  88.46153846153845%                  6  11.538461538461538%
m                    23                 46            39                 7            7  117.94871794871796%                 7  17.94871794871795%
f                    15                 30            26                 8           11  115.38461538461537%                 4  15.384615384615385%
l                    13                 26            29                 9            9  89.65517241379311%                  3  10.344827586206897%
d                    12                 24            31                10            8  77.41935483870968%                  7  22.58064516129032%
u                    11                 22            28                11           10  78.57142857142857%                  6  21.428571428571427%


######################## Simulation nr 9 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   191                382           373                 1            1  102.41286863270777%                 9  2.4128686327077746%
o                    91                182           179                 2            2  101.67597765363128%                 3  1.675977653631285%
