simulating fixed probability counter with p=0.5 20 times for test chain of size 10000
Exact occurrences of the chain:
r: 3716
o: 1969
i: 933
a: 749
e: 696
g: 494
m: 479
l: 253
d: 247
f: 234
u: 230

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                  1795               3590          3716                 1            1  96.60925726587729%                126  3.3907427341227128%
o                   943               1886          1969                 2            2  95.78466226510919%                 83  4.215337734890808%
i                   479                958           933                 3            3  102.67952840300107%                25  2.679528403001072%
e                   360                720           696                 4            5  103.44827586206897%                24  3.4482758620689653%
a                   359                718           749                 5            4  95.86114819759679%                 31  4.138851802403204%
m                   248                496           479                 6            7  103.54906054279749%                17  3.549060542797495%
g                   245                490           494                 7            6  99.19028340080972%                  4  0.8097165991902834%
u                   128                256           230                 8           11  111.30434782608695%                26  11.304347826086957%
l                   125                250           253                 9            8  98.81422924901186%                  3  1.185770750988142%
d                   116                232           247                10            9  93.92712550607287%                 15  6.0728744939271255%
f                   108                216           234                11           10  92.3076923076923%                  18  7.6923076923076925%


######################## Simulation nr 2 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                  1905               3810          3716                 1            1  102.52960172228202%                94  2.529601722282024%
o                   998               1996          1969                 2            2  101.37125444388013%                27  1.3712544438801422%
i                   475                950           933                 3            3  101.82207931404072%                17  1.822079314040729%
a                   365                730           749                 4            4  97.46328437917224%                 19  2.53671562082777%
e                   319                638           696                 5            5  91.66666666666666%                 58  8.333333333333332%
m                   266                532           479                 6            7  111.06471816283926%                53  11.064718162839249%
g                   265                530           494                 7            6  107.28744939271255%                36  7.28744939271255%
l                   136                272           253                 8            8  107.5098814229249%                 19  7.5098814229249005%
d                   121                242           247                 9            9  97.97570850202429%                  5  2.0242914979757085%
u                   112                224           230                10           11  97.3913043478261%                   6  2.608695652173913%
f                   104                208           234                11           10  88.88888888888889%                 26  11.11111111111111%


######################## Simulation nr 3 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                  1813               3626          3716                 1            1  97.57804090419806%                 90  2.4219590958019377%
o                   960               1920          1969                 2            2  97.51142712036567%                 49  2.488572879634332%
i                   474                948           933                 3            3  101.60771704180065%                15  1.607717041800643%
a                   368                736           749                 4            4  98.26435246995995%                 13  1.7356475300400533%
e                   355                710           696                 5            5  102.01149425287358%                14  2.0114942528735633%
g                   260                520           494                 6            6  105.26315789473684%                26  5.263157894736842%
m                   247                494           479                 7            7  103.13152400835072%                15  3.1315240083507305%
d                   127                254           247                 8            9  102.83400809716599%                 7  2.834008097165992%
l                   119                238           253                 9            8  94.0711462450593%                  15  5.928853754940711%
u                   116                232           230                10           11  100.8695652173913%                  2  0.8695652173913043%
f                   109                218           234                11           10  93.16239316239316%                 16  6.837606837606838%


######################## Simulation nr 4 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                  1860               3720          3716                 1            1  100.10764262648009%                 4  0.1076426264800861%
o                   992               1984          1969                 2            2  100.76180802437787%                15  0.7618080243778568%
i                   484                968           933                 3            3  103.7513397642015%                 35  3.751339764201501%
a                   368                736           749                 4            4  98.26435246995995%                 13  1.7356475300400533%
e                   336                672           696                 5            5  96.55172413793103%                 24  3.4482758620689653%
g                   268                536           494                 6            6  108.50202429149797%                42  8.502024291497975%
m                   222                444           479                 7            7  92.69311064718163%                 35  7.306889352818372%
l                   129                258           253                 8            8  101.97628458498025%                 5  1.9762845849802373%
