simulating fixed probability counter with p=0.5 20 times for test chain of size 100000
Exact occurrences of the chain:
r: 36608
o: 19604
i: 9831
a: 7296
e: 7280
g: 4973
m: 4767
f: 2444
l: 2416
d: 2406
u: 2375

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  --------------------
r                 18203              36406         36608                 1            1  99.44820804195804%                202  0.551791958041958%
o                  9773              19546         19604                 2            2  99.70414201183432%                 58  0.2958579881656805%
i                  4945               9890          9831                 3            3  100.60014240667276%                59  0.6001424066727699%
a                  3690               7380          7296                 4            4  101.1513157894737%                 84  1.151315789473684%
e                  3648               7296          7280                 5            5  100.21978021978022%                16  0.21978021978021978%
g                  2470               4940          4973                 6            6  99.33641664990951%                 33  0.6635833500904886%
m                  2414               4828          4767                 7            7  101.27963079504929%                61  1.2796307950492973%
l                  1267               2534          2416                 8            9  104.88410596026489%               118  4.8841059602649%
d                  1225               2450          2406                 9           10  101.82876142975894%                44  1.828761429758936%
f                  1195               2390          2444                10            8  97.79050736497545%                 54  2.20949263502455%
u                  1165               2330          2375                11           11  98.10526315789474%                 45  1.8947368421052633%


######################## Simulation nr 2 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  --------------------
r                 18332              36664         36608                 1            1  100.15297202797203%                56  0.15297202797202797%
o                  9789              19578         19604                 2            2  99.86737400530504%                 26  0.1326259946949602%
i                  4926               9852          9831                 3            3  100.21361000915472%                21  0.21361000915471468%
e                  3616               7232          7280                 4            5  99.34065934065934%                 48  0.6593406593406593%
a                  3580               7160          7296                 5            4  98.1359649122807%                 136  1.8640350877192982%
g                  2573               5146          4973                 6            6  103.47878544138347%               173  3.478785441383471%
m                  2405               4810          4767                 7            7  100.90203482273967%                43  0.9020348227396686%
d                  1220               2440          2406                 8           10  101.41313383208646%                34  1.4131338320864506%
u                  1220               2440          2375                 9           11  102.73684210526315%                65  2.736842105263158%
f                  1218               2436          2444                10            8  99.67266775777414%                  8  0.32733224222585927%
l                  1213               2426          2416                11            9  100.41390728476823%                10  0.4139072847682119%


######################## Simulation nr 3 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  --------------------
r                 18200              36400         36608                 1            1  99.43181818181817%                208  0.5681818181818182%
o                  9768              19536         19604                 2            2  99.65313201387472%                 68  0.3468679861252806%
i                  4933               9866          9831                 3            3  100.35601668192453%                35  0.35601668192452446%
e                  3723               7446          7280                 4            5  102.28021978021977%               166  2.28021978021978%
a                  3648               7296          7296                 5            4  100.0%                              0  0.0%
g                  2533               5066          4973                 6            6  101.8700985320732%                 93  1.870098532073195%
m                  2323               4646          4767                 7            7  97.4617159639186%                 121  2.538284036081393%
