simulating fixed probability counter with p=0.5 20 times for test chain of size 500
Exact occurrences of the chain:
r: 171
o: 98
i: 47
e: 43
a: 33
m: 31
g: 28
u: 15
d: 12
f: 12
l: 10

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    80                160           171                 1            1  93.56725146198829%                 11  6.432748538011696%
o                    50                100            98                 2            2  102.04081632653062%                 2  2.0408163265306123%
e                    23                 46            43                 3            4  106.9767441860465%                  3  6.976744186046512%
i                    23                 46            47                 4            3  97.87234042553192%                  1  2.127659574468085%
a                    20                 40            33                 5            5  121.21212121212122%                 7  21.21212121212121%
g                    18                 36            28                 6            7  128.57142857142858%                 8  28.57142857142857%
m                    15                 30            31                 7            6  96.7741935483871%                   1  3.225806451612903%
f                     9                 18            12                 8           10  150.0%                              6  50.0%
u                     7                 14            15                 9            8  93.33333333333333%                  1  6.666666666666667%
d                     6                 12            12                10            9  100.0%                              0  0.0%
l                     3                  6            10                11           11  60.0%                               4  40.0%


######################## Simulation nr 2 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    86                172           171                 1            1  100.58479532163742%                 1  0.5847953216374269%
o                    47                 94            98                 2            2  95.91836734693877%                  4  4.081632653061225%
m                    22                 44            31                 3            6  141.93548387096774%                13  41.935483870967744%
i                    21                 42            47                 4            3  89.36170212765957%                  5  10.638297872340425%
g                    18                 36            28                 5            7  128.57142857142858%                 8  28.57142857142857%
a                    17                 34            33                 6            5  103.03030303030303%                 1  3.0303030303030303%
e                    17                 34            43                 7            4  79.06976744186046%                  9  20.930232558139537%
u                     8                 16            15                 8            8  106.66666666666667%                 1  6.666666666666667%
f                     7                 14            12                 9           10  116.66666666666667%                 2  16.666666666666664%
d                     6                 12            12                10            9  100.0%                              0  0.0%
l                     4                  8            10                11           11  80.0%                               2  20.0%


######################## Simulation nr 3 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    91                182           171                 1            1  106.43274853801171%                11  6.432748538011696%
o                    52                104            98                 2            2  106.12244897959184%                 6  6.122448979591836%
e                    25                 50            43                 3            4  116.27906976744187%                 7  16.27906976744186%
i                    25                 50            47                 4            3  106.38297872340425%                 3  6.382978723404255%
m                    14                 28            31                 5            6  90.32258064516128%                  3  9.67741935483871%
a                    10                 20            33                 6            5  60.60606060606061%                 13  39.39393939393939%
d                     9                 18            12                 7            9  150.0%                              6  50.0%
g                     9                 18            28                 8            7  64.28571428571429%                 10  35.714285714285715%
u                     9                 18            15                 9            8  120.0%                              3  20.0%
f                     6                 12            12                10           10  100.0%                              0  0.0%
l                     4                  8            10                11           11  80.0%                               2  20.0%


######################## Simulation nr 4 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    80                160           171                 1            1  93.56725146198829%                 11  6.432748538011696%
o                    47                 94            98                 2            2  95.91836734693877%                  4  4.081632653061225%
e                    22                 44            43                 3            4  102.32558139534885%                 1  2.3255813953488373%
g                    18                 36            28                 4            7  128.57142857142858%                 8  28.57142857142857%
i                    17                 34            47                 5            3  72.3404255319149%                  13  27.659574468085108%
a                    15                 30            33                 6            5  90.9090909090909%                   3  9.090909090909092%
m                    14                 28            31                 7            6  90.32258064516128%                  3  9.67741935483871%
u                     9                 18            15                 8            8  120.0%                              3  20.0%
d                     6                 12            12                 9            9  100.0%                              0  0.0%
f                     5                 10            12                10           10  83.33333333333334%                  2  16.666666666666664%
l                     5                 10            10                11           11  100.0%                              0  0.0%


######################## Simulation nr 5 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    81                162           171                 1            1  94.73684210526315%                  9  5.263157894736842%
o                    51                102            98                 2            2  104.08163265306123%                 4  4.081632653061225%
e                    26                 52            43                 3            4  120.93023255813952%                 9  20.930232558139537%
i                    26                 52            47                 4            3  110.63829787234043%                 5  10.638297872340425%
a                    16                 32            33                 5            5  96.96969696969697%                  1  3.0303030303030303%
m                    16                 32            31                 6            6  103.2258064516129%                  1  3.225806451612903%
g                    13                 26            28                 7            7  92.85714285714286%                  2  7.142857142857142%
u                    10                 20            15                 8            8  133.33333333333331%                 5  33.33333333333333%
f                     8                 16            12                 9           10  133.33333333333331%                 4  33.33333333333333%
d                     6                 12            12                10            9  100.0%                              0  0.0%
l                     6                 12            10                11           11  120.0%                              2  20.0%


######################## Simulation nr 6 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    92                184           171                 1            1  107.60233918128654%                13  7.602339181286549%
o                    42                 84            98                 2            2  85.71428571428571%                 14  14.285714285714285%
e                    22                 44            43                 3            4  102.32558139534885%                 1  2.3255813953488373%
a                    19                 38            33                 4            5  115.15151515151516%                 5  15.151515151515152%
i                    19                 38            47                 5            3  80.85106382978722%                  9  19.148936170212767%
g                    16                 32            28                 6            7  114.28571428571428%                 4  14.285714285714285%
m                    12                 24            31                 7            6  77.41935483870968%                  7  22.58064516129032%
u                     9                 18            15                 8            8  120.0%                              3  20.0%
d                     6                 12            12                 9            9  100.0%                              0  0.0%
f                     5                 10            12                10           10  83.33333333333334%                  2  16.666666666666664%
l                     5                 10            10                11           11  100.0%                              0  0.0%


######################## Simulation nr 7 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    92                184           171                 1            1  107.60233918128654%                13  7.602339181286549%
o                    49                 98            98                 2            2  100.0%                              0  0.0%
i                    29                 58            47                 3            3  123.40425531914893%                11  23.404255319148938%
e                    26                 52            43                 4            4  120.93023255813952%                 9  20.930232558139537%
g                    16                 32            28                 5            7  114.28571428571428%                 4  14.285714285714285%
a                    15                 30            33                 6            5  90.9090909090909%                   3  9.090909090909092%
m                    14                 28            31                 7            6  90.32258064516128%                  3  9.67741935483871%
d                     9                 18            12                 8            9  150.0%                              6  50.0%
f                     6                 12            12                 9           10  100.0%                              0  0.0%
u                     5                 10            15                10            8  66.66666666666666%                  5  33.33333333333333%
l                     2                  4            10                11           11  40.0%                               6  60.0%


######################## Simulation nr 8 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    81                162           171                 1            1  94.73684210526315%                  9  5.263157894736842%
o                    41                 82            98                 2            2  83.6734693877551%                  16  16.3265306122449%
i                    23                 46            47                 3            3  97.87234042553192%                  1  2.127659574468085%
a                    22                 44            33                 4            5  133.33333333333331%                11  33.33333333333333%
e                    20                 40            43                 5            4  93.02325581395348%                  3  6.976744186046512%
m                    20                 40            31                 6            6  129.03225806451613%                 9  29.03225806451613%
g                    14                 28            28                 7            7  100.0%                              0  0.0%
u                     6                 12            15                 8            8  80.0%                               3  20.0%
d                     5                 10            12                 9            9  83.33333333333334%                  2  16.666666666666664%
f                     4                  8            12                10           10  66.66666666666666%                  4  33.33333333333333%
l                     3                  6            10                11           11  60.0%                               4  40.0%


######################## Simulation nr 9 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    97                194           171                 1            1  113.45029239766082%                23  13.450292397660817%
o                    51                102            98                 2            2  104.08163265306123%                 4  4.081632653061225%
i                    22                 44            47                 3            3  93.61702127659575%                  3  6.382978723404255%
e                    20                 40            43                 4            4  93.02325581395348%                  3  6.976744186046512%
m                    14                 28            31                 5            6  90.32258064516128%                  3  9.67741935483871%
a                    13                 26            33                 6            5  78.78787878787878%                  7  21.21212121212121%
g                    13                 26            28                 7            7  92.85714285714286%                  2  7.142857142857142%
d                     8                 16            12                 8            9  133.33333333333331%                 4  33.33333333333333%
f                     6                 12            12                 9           10  100.0%                              0  0.0%
u                     6                 12            15                10            8  80.0%                               3  20.0%
l                     3                  6            10                11           11  60.0%                               4  40.0%


######################## Simulation nr 10 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    80                160           171                 1            1  93.56725146198829%                 11  6.432748538011696%
o                    52                104            98                 2            2  106.12244897959184%                 6  6.122448979591836%
i                    26                 52            47                 3            3  110.63829787234043%                 5  10.638297872340425%
e                    22                 44            43                 4            4  102.32558139534885%                 1  2.3255813953488373%
m                    18                 36            31                 5            6  116.12903225806453%                 5  16.129032258064516%
a                    15                 30            33                 6            5  90.9090909090909%                   3  9.090909090909092%
g                    14                 28            28                 7            7  100.0%                              0  0.0%
u                    10                 20            15                 8            8  133.33333333333331%                 5  33.33333333333333%
f                     7                 14            12                 9           10  116.66666666666667%                 2  16.666666666666664%
