simulating fixed probability counter with p=0.5 20 times for test chain of size 5000
Exact occurrences of the chain:
r: 1823
o: 972
i: 466
a: 356
e: 350
g: 253
m: 248
f: 157
u: 131
d: 129
l: 115

######################## Simulation nr 1 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   874               1748          1823                 1            1  95.88590235874932%                 75  4.1140976412506856%
o                   504               1008           972                 2            2  103.7037037037037%                 36  3.7037037037037033%
i                   255                510           466                 3            3  109.4420600858369%                 44  9.44206008583691%
e                   193                386           350                 4            5  110.28571428571428%                36  10.285714285714285%
a                   169                338           356                 5            4  94.9438202247191%                  18  5.056179775280898%
g                   125                250           253                 6            6  98.81422924901186%                  3  1.185770750988142%
m                   122                244           248                 7            7  98.38709677419355%                  4  1.6129032258064515%
f                    78                156           157                 8            8  99.36305732484077%                  1  0.6369426751592357%
d                    71                142           129                 9           10  110.07751937984496%                13  10.077519379844961%
u                    64                128           131                10            9  97.70992366412213%                  3  2.2900763358778624%
l                    58                116           115                11           11  100.8695652173913%                  1  0.8695652173913043%


######################## Simulation nr 2 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  --------------------
r                   913               1826          1823                 1            1  100.16456390565003%                 3  0.16456390565002743%
o                   484                968           972                 2            2  99.58847736625515%                  4  0.411522633744856%
i                   226                452           466                 3            3  96.99570815450643%                 14  3.004291845493562%
a                   181                362           356                 4            4  101.68539325842696%                 6  1.6853932584269662%
e                   164                328           350                 5            5  93.71428571428572%                 22  6.2857142857142865%
g                   124                248           253                 6            6  98.02371541501977%                  5  1.9762845849802373%
m                   119                238           248                 7            7  95.96774193548387%                 10  4.032258064516129%
f                    81                162           157                 8            8  103.18471337579618%                 5  3.1847133757961785%
l                    69                138           115                 9           11  120.0%                             23  20.0%
u                    68                136           131                10            9  103.81679389312977%                 5  3.816793893129771%
d                    45                 90           129                11           10  69.76744186046511%                 39  30.23255813953488%


######################## Simulation nr 3 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   905               1810          1823                 1            1  99.28688974218322%                 13  0.7131102578167855%
o                   508               1016           972                 2            2  104.5267489711934%                 44  4.526748971193416%
i                   223                446           466                 3            3  95.70815450643777%                 20  4.291845493562231%
e                   180                360           350                 4            5  102.85714285714285%                10  2.857142857142857%
a                   169                338           356                 5            4  94.9438202247191%                  18  5.056179775280898%
m                   129                258           248                 6            7  104.03225806451613%                10  4.032258064516129%
g                   116                232           253                 7            6  91.699604743083%                   21  8.300395256916996%
f                    81                162           157                 8            8  103.18471337579618%                 5  3.1847133757961785%
u                    73                146           131                 9            9  111.45038167938932%                15  11.450381679389313%
d                    68                136           129                10           10  105.4263565891473%                  7  5.426356589147287%
l                    48                 96           115                11           11  83.47826086956522%                 19  16.52173913043478%


######################## Simulation nr 4 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   885               1770          1823                 1            1  97.09270433351618%                 53  2.907295666483818%
o                   521               1042           972                 2            2  107.20164609053498%                70  7.20164609053498%
i                   230                460           466                 3            3  98.71244635193133%                  6  1.2875536480686696%
a                   179                358           356                 4            4  100.56179775280899%                 2  0.5617977528089888%
e                   169                338           350                 5            5  96.57142857142857%                 12  3.428571428571429%
g                   127                254           253                 6            6  100.39525691699605%                 1  0.3952569169960474%
m                   124                248           248                 7            7  100.0%                              0  0.0%
f                    67                134           157                 8            8  85.35031847133759%                 23  14.64968152866242%
d                    66                132           129                 9           10  102.32558139534885%                 3  2.3255813953488373%
u                    63                126           131                10            9  96.18320610687023%                  5  3.816793893129771%
l                    52                104           115                11           11  90.43478260869566%                 11  9.565217391304348%


######################## Simulation nr 5 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   924               1848          1823                 1            1  101.37136588041689%                25  1.3713658804168951%
o                   483                966           972                 2            2  99.38271604938271%                  6  0.6172839506172839%
i                   243                486           466                 3            3  104.29184549356223%                20  4.291845493562231%
e                   185                370           350                 4            5  105.71428571428572%                20  5.714285714285714%
a                   164                328           356                 5            4  92.13483146067416%                 28  7.865168539325842%
g                   115                230           253                 6            6  90.9090909090909%                  23  9.090909090909092%
m                   108                216           248                 7            7  87.09677419354838%                 32  12.903225806451612%
f                    72                144           157                 8            8  91.71974522292994%                 13  8.280254777070063%
u                    68                136           131                 9            9  103.81679389312977%                 5  3.816793893129771%
d                    66                132           129                10           10  102.32558139534885%                 3  2.3255813953488373%
l                    51                102           115                11           11  88.69565217391305%                 13  11.304347826086957%


######################## Simulation nr 6 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   891               1782          1823                 1            1  97.75095995611629%                 41  2.249040043883708%
o                   504               1008           972                 2            2  103.7037037037037%                 36  3.7037037037037033%
i                   261                522           466                 3            3  112.01716738197425%                56  12.017167381974248%
a                   188                376           356                 4            4  105.61797752808988%                20  5.617977528089887%
e                   159                318           350                 5            5  90.85714285714286%                 32  9.142857142857142%
g                   137                274           253                 6            6  108.300395256917%                  21  8.300395256916996%
m                   134                268           248                 7            7  108.06451612903226%                20  8.064516129032258%
f                    80                160           157                 8            8  101.91082802547771%                 3  1.910828025477707%
d                    65                130           129                 9           10  100.7751937984496%                  1  0.7751937984496124%
u                    60                120           131                10            9  91.6030534351145%                  11  8.396946564885496%
l                    58                116           115                11           11  100.8695652173913%                  1  0.8695652173913043%


######################## Simulation nr 7 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   917               1834          1823                 1            1  100.60340098738342%                11  0.603400987383434%
o                   483                966           972                 2            2  99.38271604938271%                  6  0.6172839506172839%
i                   242                484           466                 3            3  103.862660944206%                  18  3.862660944206009%
a                   171                342           356                 4            4  96.06741573033707%                 14  3.932584269662921%
e                   167                334           350                 5            5  95.42857142857143%                 16  4.571428571428571%
g                   122                244           253                 6            6  96.44268774703558%                  9  3.557312252964427%
m                   115                230           248                 7            7  92.74193548387096%                 18  7.258064516129033%
d                    81                162           129                 8           10  125.5813953488372%                 33  25.581395348837212%
f                    79                158           157                 9            8  100.63694267515923%                 1  0.6369426751592357%
u                    61                122           131                10            9  93.12977099236642%                  9  6.870229007633588%
l                    52                104           115                11           11  90.43478260869566%                 11  9.565217391304348%


######################## Simulation nr 8 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  --------------------
r                   914               1828          1823                 1            1  100.27427317608337%                 5  0.27427317608337903%
o                   501               1002           972                 2            2  103.08641975308642%                30  3.0864197530864197%
i                   228                456           466                 3            3  97.85407725321889%                 10  2.1459227467811157%
e                   184                368           350                 4            5  105.14285714285714%                18  5.142857142857142%
a                   172                344           356                 5            4  96.62921348314607%                 12  3.3707865168539324%
g                   136                272           253                 6            6  107.5098814229249%                 19  7.5098814229249005%
m                   135                270           248                 7            7  108.87096774193547%                22  8.870967741935484%
u                    75                150           131                 8            9  114.50381679389312%                19  14.50381679389313%
f                    63                126           157                 9            8  80.2547770700637%                  31  19.745222929936308%
l                    60                120           115                10           11  104.34782608695652%                 5  4.3478260869565215%
d                    58                116           129                11           10  89.92248062015504%                 13  10.077519379844961%


######################## Simulation nr 9 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   895               1790          1823                 1            1  98.1897970378497%                  33  1.8102029621503017%
o                   482                964           972                 2            2  99.1769547325103%                   8  0.823045267489712%
i                   227                454           466                 3            3  97.42489270386267%                 12  2.575107296137339%
a                   193                386           356                 4            4  108.42696629213484%                30  8.426966292134832%
e                   191                382           350                 5            5  109.14285714285714%                32  9.142857142857142%
g                   121                242           253                 6            6  95.65217391304348%                 11  4.3478260869565215%
m                   106                212           248                 7            7  85.48387096774194%                 36  14.516129032258066%
f                    81                162           157                 8            8  103.18471337579618%                 5  3.1847133757961785%
u                    64                128           131                 9            9  97.70992366412213%                  3  2.2900763358778624%
l                    60                120           115                10           11  104.34782608695652%                 5  4.3478260869565215%
d                    58                116           129                11           10  89.92248062015504%                 13  10.077519379844961%


######################## Simulation nr 10 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   891               1782          1823                 1            1  97.75095995611629%                 41  2.249040043883708%
o                   491                982           972                 2            2  101.02880658436213%                10  1.02880658436214%
i                   228                456           466                 3            3  97.85407725321889%                 10  2.1459227467811157%
a                   190                380           356                 4            4  106.74157303370787%                24  6.741573033707865%
e                   169                338           350                 5            5  96.57142857142857%                 12  3.428571428571429%
g                   122                244           253                 6            6  96.44268774703558%                  9  3.557312252964427%
m                   121                242           248                 7            7  97.58064516129032%                  6  2.4193548387096775%
f                    74                148           157                 8            8  94.26751592356688%                  9  5.7324840764331215%
d                    66                132           129                 9           10  102.32558139534885%                 3  2.3255813953488373%
l                    59                118           115                10           11  102.60869565217392%                 3  2.608695652173913%
u                    58                116           131                11            9  88.54961832061069%                 15  11.450381679389313%


######################## Simulation nr 11 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  --------------------
r                   908               1816          1823                 1            1  99.61601755348327%                  7  0.38398244651673064%
o                   481                962           972                 2            2  98.97119341563786%                 10  1.02880658436214%
i                   231                462           466                 3            3  99.14163090128756%                  4  0.8583690987124464%
a                   177                354           356                 4            4  99.43820224719101%                  2  0.5617977528089888%
e                   177                354           350                 5            5  101.14285714285714%                 4  1.1428571428571428%
g                   118                236           253                 6            6  93.2806324110672%                  17  6.719367588932807%
m                   115                230           248                 7            7  92.74193548387096%                 18  7.258064516129033%
f                    90                180           157                 8            8  114.64968152866241%                23  14.64968152866242%
u                    73                146           131                 9            9  111.45038167938932%                15  11.450381679389313%
l                    65                130           115                10           11  113.04347826086956%                15  13.043478260869565%
d                    58                116           129                11           10  89.92248062015504%                 13  10.077519379844961%


######################## Simulation nr 12 ########################
Fixed probabilistic counter with chance: 50.0%
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                   895               1790          1823                 1            1  98.1897970378497%                  33  1.8102029621503017%
o                   464                928           972                 2            2  95.47325102880659%                 44  4.526748971193416%
i                   232                464           466                 3            3  99.57081545064378%                  2  0.4291845493562232%
a                   182                364           356                 4            4  102.24719101123596%                 8  2.247191011235955%
e                   168                336           350                 5            5  96.0%                              14  4.0%
g                   121                242           253                 6            6  95.65217391304348%                 11  4.3478260869565215%
m                   119                238           248                 7            7  95.96774193548387%                 10  4.032258064516129%
f                    85                170           157                 8            8  108.28025477707006%                13  8.280254777070063%
d                    60                120           129                 9           10  93.02325581395348%                  9  6.976744186046512%
u                    56                112           131                10            9  85.49618320610686%                 19  14.50381679389313%
