simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 100
Exact occurrences of the chain:
o: 31
r: 28
i: 10
u: 8
a: 6
g: 6
m: 4
e: 3
l: 2
f: 1
d: 1

######################## Simulation nr 1 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                     8                 38            28                 1            2  135.71428571428572%                10  35.714285714285715%
o                     8                 38            31                 2            1  122.58064516129032%                 7  22.58064516129032%
i                     6                 18            10                 3            3  180.0%                              8  80.0%
u                     6                 18             8                 4            4  225.0%                             10  125.0%
a                     3                  6             6                 5            5  100.0%                              0  0.0%
g                     3                  6             6                 6            6  100.0%                              0  0.0%
l                     2                  4             2                 7            9  200.0%                              2  100.0%
e                     2                  4             3                 8            8  133.33333333333331%                 1  33.33333333333333%
m                     2                  4             4                 9            7  100.0%                              0  0.0%
f                     1                  2             1                10           10  200.0%                              1  100.0%
d                     1                  2             1                11           11  200.0%                              1  100.0%


######################## Simulation nr 2 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                     7                 26            28                 1            2  92.85714285714286%                  2  7.142857142857142%
o                     7                 26            31                 2            1  83.87096774193549%                  5  16.129032258064516%
i                     5                 13            10                 3            3  130.0%                              3  30.0%
u                     4                  9             8                 4            4  112.5%                              1  12.5%
g                     4                  9             6                 5            6  150.0%                              3  50.0%
a                     3                  6             6                 6            5  100.0%                              0  0.0%
e                     2                  4             3                 7            8  133.33333333333331%                 1  33.33333333333333%
m                     2                  4             4                 8            7  100.0%                              0  0.0%
l                     1                  2             2                 9            9  100.0%                              0  0.0%
f                     1                  2             1                10           10  200.0%                              1  100.0%
d                     1                  2             1                11           11  200.0%                              1  100.0%


######################## Simulation nr 3 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                     9                 54            28                 1            2  192.85714285714286%                26  92.85714285714286%
o                     7                 26            31                 2            1  83.87096774193549%                  5  16.129032258064516%
u                     4                  9             8                 3            4  112.5%                              1  12.5%
g                     4                  9             6                 4            6  150.0%                              3  50.0%
i                     3                  6            10                 5            3  60.0%                               4  40.0%
a                     3                  6             6                 6            5  100.0%                              0  0.0%
l                     2                  4             2                 7            9  200.0%                              2  100.0%
e                     2                  4             3                 8            8  133.33333333333331%                 1  33.33333333333333%
m                     2                  4             4                 9            7  100.0%                              0  0.0%
f                     1                  2             1                10           10  200.0%                              1  100.0%
d                     1                  2             1                11           11  200.0%                              1  100.0%


######################## Simulation nr 4 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
o                    10                 76            31                 1            1  245.16129032258064%                45  145.16129032258064%
i                     6                 18            10                 2            3  180.0%                              8  80.0%
r                     6                 18            28                 3            2  64.28571428571429%                 10  35.714285714285715%
u                     4                  9             8                 4            4  112.5%                              1  12.5%
e                     3                  6             3                 5            8  200.0%                              3  100.0%
a                     3                  6             6                 6            5  100.0%                              0  0.0%
m                     3                  6             4                 7            7  150.0%                              2  50.0%
g                     3                  6             6                 8            6  100.0%                              0  0.0%
l                     2                  4             2                 9            9  200.0%                              2  100.0%
f                     1                  2             1                10           10  200.0%                              1  100.0%
d                     1                  2             1                11           11  200.0%                              1  100.0%


######################## Simulation nr 5 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                     7                 26            28                 1            2  92.85714285714286%                  2  7.142857142857142%
o                     6                 18            31                 2            1  58.06451612903226%                 13  41.935483870967744%
i                     5                 13            10                 3            3  130.0%                              3  30.0%
u                     5                 13             8                 4            4  162.5%                              5  62.5%
a                     5                 13             6                 5            5  216.66666666666666%                 7  116.66666666666667%
g                     4                  9             6                 6            6  150.0%                              3  50.0%
e                     3                  6             3                 7            8  200.0%                              3  100.0%
l                     2                  4             2                 8            9  200.0%                              2  100.0%
m                     2                  4             4                 9            7  100.0%                              0  0.0%
f                     1                  2             1                10           10  200.0%                              1  100.0%
d                     1                  2             1                11           11  200.0%                              1  100.0%


######################## Simulation nr 6 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                     7                 26            28                 1            2  92.85714285714286%                  2  7.142857142857142%
o                     7                 26            31                 2            1  83.87096774193549%                  5  16.129032258064516%
i                     6                 18            10                 3            3  180.0%                              8  80.0%
u                     5                 13             8                 4            4  162.5%                              5  62.5%
a                     3                  6             6                 5            5  100.0%                              0  0.0%
m                     3                  6             4                 6            7  150.0%                              2  50.0%
g                     3                  6             6                 7            6  100.0%                              0  0.0%
l                     2                  4             2                 8            9  200.0%                              2  100.0%
e                     2                  4             3                 9            8  133.33333333333331%                 1  33.33333333333333%
f                     1                  2             1                10           10  200.0%                              1  100.0%
