simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 10000
Exact occurrences of the chain:
r: 3716
o: 1969
i: 933
a: 749
e: 696
g: 494
m: 479
l: 253
d: 247
f: 234
u: 230

######################## Simulation nr 1 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    22               4943          3716                 1            1  133.01937567276642%              1227  33.019375672766415%
o                    19               1747          1969                 2            2  88.72524123920772%                222  11.274758760792281%
e                    17                873           696                 3            5  125.43103448275863%               177  25.43103448275862%
i                    17                873           933                 4            3  93.56913183279742%                 60  6.430868167202572%
a                    17                873           749                 5            4  116.55540720961281%               124  16.555407209612817%
l                    15                436           253                 6            8  172.3320158102767%                183  72.33201581027669%
d                    14                308           247                 7            9  124.69635627530364%                61  24.696356275303643%
f                    13                218           234                 8           10  93.16239316239316%                 16  6.837606837606838%
m                    13                218           479                 9            7  45.51148225469729%                261  54.48851774530271%
u                    13                218           230                10           11  94.78260869565217%                 12  5.217391304347826%
g                    13                218           494                11            6  44.12955465587044%                276  55.87044534412956%


######################## Simulation nr 2 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    21               3495          3716                 1            1  94.05274488697523%                221  5.947255113024758%
o                    18               1235          1969                 2            2  62.72219400711021%                734  37.27780599288979%
e                    17                873           696                 3            5  125.43103448275863%               177  25.43103448275862%
a                    17                873           749                 4            4  116.55540720961281%               124  16.555407209612817%
m                    16                617           479                 5            7  128.8100208768267%                138  28.81002087682672%
g                    16                617           494                 6            6  124.89878542510122%               123  24.898785425101213%
i                    15                436           933                 7            3  46.730975348338696%               497  53.26902465166131%
d                    15                436           247                 8            9  176.51821862348177%               189  76.51821862348179%
l                    14                308           253                 9            8  121.73913043478262%                55  21.73913043478261%
u                    13                218           230                10           11  94.78260869565217%                 12  5.217391304347826%
f                    12                154           234                11           10  65.8119658119658%                  80  34.18803418803419%


######################## Simulation nr 3 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    20               2471          3716                 1            1  66.49623250807319%               1245  33.5037674919268%
o                    18               1235          1969                 2            2  62.72219400711021%                734  37.27780599288979%
a                    18               1235           749                 3            4  164.88651535380507%               486  64.88651535380508%
m                    16                617           479                 4            7  128.8100208768267%                138  28.81002087682672%
i                    16                617           933                 5            3  66.13076098606645%                316  33.86923901393355%
u                    15                436           230                 6           11  189.56521739130434%               206  89.56521739130436%
g                    15                436           494                 7            6  88.25910931174089%                 58  11.740890688259109%
