simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 100000
Exact occurrences of the chain:
r: 36608
o: 19604
i: 9831
a: 7296
e: 7280
g: 4973
m: 4767
f: 2444
l: 2416
d: 2406
u: 2375

######################## Simulation nr 1 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    27              27968         36608                 1            1  76.3986013986014%                8640  23.6013986013986%
o                    25              13984         19604                 2            2  71.33238114670475%               5620  28.667618853295245%
e                    24               9888          7280                 3            5  135.82417582417582%              2608  35.824175824175825%
i                    24               9888          9831                 4            3  100.57979859627709%                57  0.5797985962770826%
a                    23               6991          7296                 5            4  95.81962719298247%                305  4.180372807017544%
g                    21               3495          4973                 6            6  70.27950935049266%               1478  29.72049064950734%
f                    20               2471          2444                 7            8  101.10474631751228%                27  1.104746317512275%
m                    20               2471          4767                 8            7  51.83553597650514%               2296  48.164464023494865%
l                    19               1747          2416                 9            9  72.30960264900662%                669  27.69039735099338%
d                    19               1747          2406                10           10  72.61014131338321%                659  27.38985868661679%
u                    19               1747          2375                11           11  73.5578947368421%                 628  26.442105263157895%


######################## Simulation nr 2 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    30              79108         36608                 1            1  216.09484265734267%             42500  116.09484265734267%
o                    24               9888         19604                 2            2  50.438685982452554%              9716  49.561314017547446%
e                    23               6991          7280                 3            5  96.03021978021978%                289  3.9697802197802194%
i                    22               4943          9831                 4            3  50.2797273929407%                4888  49.7202726070593%
m                    22               4943          4767                 5            7  103.69204950702749%               176  3.6920495070274804%
