simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 500
Exact occurrences of the chain:
r: 171
o: 98
i: 47
e: 43
a: 33
m: 31
g: 28
u: 15
d: 12
f: 12
l: 10

######################## Simulation nr 1 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    13                218           171                 1            1  127.48538011695906%                47  27.485380116959064%
o                    11                108            98                 2            2  110.20408163265304%                10  10.204081632653061%
i                    10                 76            47                 3            3  161.70212765957444%                29  61.702127659574465%
g                     8                 38            28                 4            7  135.71428571428572%                10  35.714285714285715%
m                     8                 38            31                 5            6  122.58064516129032%                 7  22.58064516129032%
a                     7                 26            33                 6            5  78.78787878787878%                  7  21.21212121212121%
e                     6                 18            43                 7            4  41.86046511627907%                 25  58.139534883720934%
d                     6                 18            12                 8            9  150.0%                              6  50.0%
u                     6                 18            15                 9            8  120.0%                              3  20.0%
f                     5                 13            12                10           10  108.33333333333333%                 1  8.333333333333332%
l                     5                 13            10                11           11  130.0%                              3  30.0%


######################## Simulation nr 2 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
o                    10                 76            98                 1            2  77.55102040816327%                 22  22.448979591836736%
r                    10                 76           171                 2            1  44.44444444444444%                 95  55.55555555555556%
e                     9                 54            43                 3            4  125.5813953488372%                 11  25.581395348837212%
i                     9                 54            47                 4            3  114.89361702127661%                 7  14.893617021276595%
a                     7                 26            33                 5            5  78.78787878787878%                  7  21.21212121212121%
m                     7                 26            31                 6            6  83.87096774193549%                  5  16.129032258064516%
g                     6                 18            28                 7            7  64.28571428571429%                 10  35.714285714285715%
u                     6                 18            15                 8            8  120.0%                              3  20.0%
d                     5                 13            12                 9            9  108.33333333333333%                 1  8.333333333333332%
f                     5                 13            12                10           10  108.33333333333333%                 1  8.333333333333332%
l                     4                  9            10                11           11  90.0%                               1  10.0%


######################## Simulation nr 3 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    15                436           171                 1            1  254.97076023391813%               265  154.97076023391813%
o                    10                 76            98                 2            2  77.55102040816327%                 22  22.448979591836736%
a                     8                 38            33                 3            5  115.15151515151516%                 5  15.151515151515152%
