simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 500000
Exact occurrences of the chain:
r: 182911
o: 96970
i: 48588
e: 36825
a: 36733
m: 24648
g: 24416
f: 12363
d: 12273
l: 12173
u: 12100

######################## Simulation nr 1 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    33             223753        182911                 1            1  122.32889219347113%             40842  22.32889219347114%
o                    30              79108         96970                 2            2  81.57987006290605%              17862  18.420129937093947%
a                    29              55937         36733                 3            5  152.27996624288787%             19204  52.279966242887866%
e                    28              39553         36825                 4            4  107.408010862186%                2728  7.408010862186015%
i                    27              27968         48588                 5            3  57.56153782827036%              20620  42.43846217172965%
m                    26              19776         24648                 6            6  80.23369036027263%               4872  19.76630963972736%
d                    25              13984         12273                 7            9  113.94117167766642%              1711  13.941171677666423%
l                    25              13984         12173                 8           10  114.87718721761276%              1811  14.87718721761275%
g                    24               9888         24416                 9            7  40.49803407601573%              14528  59.501965923984265%
u                    23               6991         12100                10           11  57.776859504132226%              5109  42.22314049586777%
f                    22               4943         12363                11            8  39.98220496643209%               7420  60.0177950335679%


######################## Simulation nr 2 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    31             111876        182911                 1            1  61.16417273974775%              71035  38.83582726025225%
o                    29              55937         96970                 2            2  57.68485098484067%              41033  42.31514901515933%
e                    28              39553         36825                 3            4  107.408010862186%                2728  7.408010862186015%
a                    28              39553         36733                 4            5  107.67702066261944%              2820  7.677020662619443%
i                    27              27968         48588                 5            3  57.56153782827036%              20620  42.43846217172965%
m                    27              27968         24648                 6            6  113.46965271015902%              3320  13.469652710159039%
l                    26              19776         12173                 7           10  162.4578986281114%               7603  62.457898628111394%
f                    26              19776         12363                 8            8  159.96117447221548%              7413  59.96117447221548%
g                    25              13984         24416                 9            7  57.27391874180865%              10432  42.72608125819135%
u                    25              13984         12100                10           11  115.5702479338843%               1884  15.570247933884298%
d                    23               6991         12273                11            9  56.96243787175099%               5282  43.037562128249%


######################## Simulation nr 3 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    31             111876        182911                 1            1  61.16417273974775%              71035  38.83582726025225%
o                    29              55937         96970                 2            2  57.68485098484067%              41033  42.31514901515933%
e                    29              55937         36825                 3            4  151.89952477936183%             19112  51.89952477936185%
a                    29              55937         36733                 4            5  152.27996624288787%             19204  52.279966242887866%
i                    28              39553         48588                 5            3  81.4048736313493%                9035  18.595126368650696%
m                    28              39553         24648                 6            6  160.47143784485556%             14905  60.47143784485557%
g                    26              19776         24416                 7            7  80.99606815203146%               4640  19.003931847968545%
u                    25              13984         12100                 8           11  115.5702479338843%               1884  15.570247933884298%
f                    25              13984         12363                 9            8  113.11170427889672%              1621  13.111704278896708%
l                    24               9888         12173                10           10  81.2289493140557%                2285  18.771050685944303%
d                    23               6991         12273                11            9  56.96243787175099%               5282  43.037562128249%


######################## Simulation nr 4 ########################
Logarithmic decreasing probability counter with base: 1.4142135623730951
Char      Counter Value    Estimated Value    Real Value    Estimated Rank    Real Rank  Accuracy Ratio         Absolute Error  Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------  ----------------  -------------------
r                    32             158217        182911                 1            1  86.49944508531472%              24694  13.500554914685283%
a                    30              79108         36733                 2            5  215.3594860207443%              42375  115.35948602074428%
o                    29              55937         96970                 3            2  57.68485098484067%              41033  42.31514901515933%
e                    27              27968         36825                 4            4  75.94840461642906%               8857  24.05159538357094%
g                    27              27968         24416                 5            7  114.5478374836173%               3552  14.547837483617302%
