simulating fixed probability counter with p=0.5 20 times for test chain of size 100
######################## Stats across all simulations ########################
Char    Counter Value    Estimated Value      Real Value  Estimated Rank      Real Rank  Accuracy Ratio             Absolute Error    Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  -------------------------  ----------------  ------------------------
o       11 / 15 / 20     22 / 30 / 40                 31  1 / 1 / 2                   1  70.97% / 95.81% / 129.03%  1 / 4 / 9         3.23% / 14.52% / 29.03%
r       8 / 14 / 20      16 / 28 / 40                 28  1 / 2 / 2                   2  57.14% / 96.43% / 142.86%  0 / 4 / 12        0.0% / 15.71% / 42.86%
i       1 / 4 / 6        2 / 8 / 12                   10  3 / 4 / 7                   3  20.0% / 85.0% / 120.0%     0 / 2 / 8         0.0% / 23.0% / 80.0%
u       1 / 4 / 6        2 / 8 / 12                    8  3 / 4 / 7                   4  25.0% / 105.0% / 150.0%    0 / 2 / 6         0.0% / 30.0% / 75.0%
g       1 / 3 / 6        2 / 6 / 12                    6  3 / 6 / 9                   6  33.33% / 108.33% / 200.0%  0 / 2 / 6         0.0% / 28.33% / 100.0%
e       0 / 2 / 3        0 / 4 / 6                     3  4 / 7 / 9                   8  0.0% / 103.33% / 200.0%    1 / 1 / 3         33.33% / 43.33% / 100.0%
m       0 / 2 / 4        0 / 4 / 8                     4  5 / 8 / 11                  7  0.0% / 97.5% / 200.0%      0 / 1 / 4         0.0% / 32.5% / 100.0%
a       0 / 2 / 5        0 / 4 / 10                    6  3 / 6 / 10                  5  0.0% / 83.33% / 166.67%    0 / 2 / 6         0.0% / 33.33% / 100.0%
d       0 / 1 / 1        0 / 2 / 2                     1  8 / 10 / 11                11  0.0% / 110.0% / 200.0%     1 / 1 / 1         100.0% / 100.0% / 100.0%
l       0 / 1 / 2        0 / 2 / 4                     2  6 / 8 / 11                  9  0.0% / 110.0% / 200.0%     0 / 1 / 2         0.0% / 50.0% / 100.0%
f       0 / 0 / 1        0 / 0 / 2                     1  7 / 10 / 11                10  0.0% / 50.0% / 200.0%      1 / 1 / 1         100.0% / 100.0% / 100.0%
Min/Mean/Max
