simulating fixed probability counter with p=0.5 20 times for test chain of size 1000
######################## Stats across all simulations ########################
Char    Counter Value    Estimated Value      Real Value  Estimated Rank      Real Rank  Accuracy Ratio              Absolute Error    Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  --------------------------  ----------------  -----------------------
r       175 / 189 / 204  350 / 378 / 408             373  1 / 1 / 1                   1  93.83% / 101.53% / 109.38%  1 / 13 / 35       0.27% / 3.54% / 9.38%
o       77 / 89 / 105    154 / 178 / 210             179  2 / 2 / 2                   2  86.03% / 99.55% / 117.32%   1 / 10 / 31       0.56% / 5.75% / 17.32%
i       39 / 45 / 59     78 / 90 / 118                91  3 / 3 / 5                   3  85.71% / 99.45% / 129.67%   1 / 7 / 27        1.1% / 7.25% / 29.67%
e       31 / 40 / 46     62 / 80 / 92                 82  3 / 4 / 5                   4  75.61% / 96.83% / 112.2%    0 / 7 / 20        0.0% / 9.02% / 24.39%
a       26 / 35 / 42     52 / 70 / 84                 70  4 / 5 / 5                   5  74.29% / 99.0% / 120.0%     0 / 7 / 18        0.0% / 9.57% / 25.71%
g       22 / 27 / 31     44 / 54 / 62                 52  6 / 6 / 7                   6  84.62% / 102.88% / 119.23%  2 / 5 / 10        3.85% / 10.19% / 19.23%
m       15 / 20 / 27     30 / 40 / 54                 39  6 / 7 / 9                   7  76.92% / 104.36% / 138.46%  1 / 5 / 15        2.56% / 13.33% / 38.46%
d       12 / 16 / 25     24 / 32 / 50                 31  7 / 9 / 11                  8  77.42% / 101.61% / 161.29%  1 / 4 / 19        3.23% / 14.19% / 61.29%
l       11 / 15 / 20     22 / 30 / 40                 29  7 / 9 / 11                  9  75.86% / 100.69% / 137.93%  1 / 4 / 11        3.45% / 12.76% / 37.93%
u       8 / 14 / 21      16 / 28 / 42                 28  7 / 10 / 11                10  57.14% / 101.07% / 150.0%   0 / 5 / 14        0.0% / 16.79% / 50.0%
f       7 / 12 / 16      14 / 24 / 32                 26  8 / 10 / 11                11  53.85% / 92.69% / 123.08%   0 / 4 / 12        0.0% / 13.46% / 46.15%
Min/Mean/Max
