simulating fixed probability counter with p=0.5 20 times for test chain of size 10000
######################## Stats across all simulations ########################
Char    Counter Value       Estimated Value       Real Value  Estimated Rank      Real Rank  Accuracy Ratio              Absolute Error    Relative Error
------  ------------------  ------------------  ------------  ----------------  -----------  --------------------------  ----------------  ----------------------
r       1795 / 1847 / 1905  3590 / 3694 / 3810          3716  1 / 1 / 1                   1  96.61% / 99.4% / 102.53%    4 / 51 / 126      0.11% / 1.37% / 3.39%
o       943 / 976 / 1007    1886 / 1952 / 2014          1969  2 / 2 / 2                   2  95.78% / 99.17% / 102.29%   1 / 30 / 83       0.05% / 1.54% / 4.22%
i       450 / 472 / 495     900 / 944 / 990              933  3 / 3 / 3                   3  96.46% / 101.28% / 106.11%  1 / 22 / 57       0.11% / 2.37% / 6.11%
a       346 / 373 / 400     692 / 746 / 800              749  4 / 4 / 5                   4  92.39% / 99.48% / 106.81%   5 / 20 / 57       0.67% / 2.63% / 7.61%
e       318 / 346 / 377     636 / 692 / 754              696  4 / 5 / 5                   5  91.38% / 99.54% / 108.33%   2 / 25 / 60       0.29% / 3.59% / 8.62%
g       223 / 247 / 268     446 / 494 / 536              494  6 / 6 / 7                   6  90.28% / 99.94% / 108.5%    0 / 19 / 48       0.0% / 3.87% / 9.72%
m       217 / 242 / 266     434 / 484 / 532              479  6 / 7 / 7                   7  90.61% / 100.88% / 111.06%  1 / 18 / 53       0.21% / 3.78% / 11.06%
l       119 / 128 / 142     238 / 256 / 284              253  8 / 8 / 10                  8  94.07% / 101.46% / 112.25%  1 / 8 / 31        0.4% / 3.0% / 12.25%
d       112 / 123 / 134     224 / 246 / 268              247  8 / 9 / 11                  9  90.69% / 99.43% / 108.5%    1 / 12 / 23       0.4% / 4.9% / 9.31%
u       89 / 116 / 132      178 / 232 / 264              230  8 / 10 / 11                11  77.39% / 100.7% / 114.78%   0 / 14 / 52       0.0% / 6.17% / 22.61%
f       104 / 115 / 127     208 / 230 / 254              234  9 / 10 / 11                10  88.89% / 98.55% / 108.55%   4 / 12 / 26       1.71% / 5.13% / 11.11%
Min/Mean/Max
