simulating fixed probability counter with p=0.5 20 times for test chain of size 100000
######################## Stats across all simulations ########################
Char    Counter Value          Estimated Value          Real Value  Estimated Rank      Real Rank  Accuracy Ratio              Absolute Error    Relative Error
------  ---------------------  ---------------------  ------------  ----------------  -----------  --------------------------  ----------------  ---------------------
r       18127 / 18277 / 18377  36254 / 36554 / 36754         36608  1 / 1 / 1                   1  99.03% / 99.85% / 100.4%    30 / 109 / 354    0.08% / 0.3% / 0.97%
o       9671 / 9806 / 9911     19342 / 19612 / 19822         19604  2 / 2 / 2                   2  98.66% / 100.04% / 101.11%  4 / 100 / 262     0.02% / 0.51% / 1.34%
i       4815 / 4930 / 5037     9630 / 9860 / 10074            9831  3 / 3 / 3                   3  97.96% / 100.29% / 102.47%  7 / 91 / 243      0.07% / 0.93% / 2.47%
a       3550 / 3653 / 3751     7100 / 7306 / 7502             7296  4 / 4 / 5                   4  97.31% / 100.14% / 102.82%  0 / 70 / 206      0.0% / 0.96% / 2.82%
e       3559 / 3648 / 3729     7118 / 7296 / 7458             7280  4 / 5 / 5                   5  97.77% / 100.23% / 102.45%  10 / 77 / 178     0.14% / 1.06% / 2.45%
g       2427 / 2496 / 2573     4854 / 4992 / 5146             4973  6 / 6 / 6                   6  97.61% / 100.37% / 103.48%  1 / 58 / 173      0.02% / 1.17% / 3.48%
m       2311 / 2380 / 2458     4622 / 4760 / 4916             4767  7 / 7 / 7                   7  96.96% / 99.85% / 103.13%   9 / 55 / 149      0.19% / 1.16% / 3.13%
l       1167 / 1219 / 1267     2334 / 2438 / 2534             2416  8 / 9 / 11                  9  96.61% / 100.92% / 104.88%  4 / 46 / 118      0.17% / 1.9% / 4.88%
f       1177 / 1210 / 1241     2354 / 2420 / 2482             2444  8 / 9 / 11                  8  96.32% / 99.05% / 101.55%   0 / 38 / 90       0.0% / 1.54% / 3.68%
d       1160 / 1202 / 1232     2320 / 2404 / 2464             2406  8 / 10 / 11                10  96.43% / 99.93% / 102.41%   2 / 34 / 86       0.08% / 1.43% / 3.57%
u       1154 / 1196 / 1249     2308 / 2392 / 2498             2375  8 / 10 / 11                11  97.18% / 100.71% / 105.18%  1 / 44 / 123      0.04% / 1.85% / 5.18%
Min/Mean/Max
