simulating fixed probability counter with p=0.5 20 times for test chain of size 1000000
######################## Stats across all simulations ########################
Char    Counter Value             Estimated Value             Real Value  Estimated Rank      Real Rank  Accuracy Ratio              Absolute Error    Relative Error
------  ------------------------  ------------------------  ------------  ----------------  -----------  --------------------------  ----------------  ---------------------
r       182094 / 182685 / 183207  364188 / 365370 / 366414        365412  1 / 1 / 1                   1  99.67% / 99.99% / 100.27%   52 / 444 / 1224   0.01% / 0.12% / 0.33%
o       97594 / 97907 / 98498     195188 / 195814 / 196996        195811  2 / 2 / 2                   2  99.68% / 100.0% / 100.61%   5 / 401 / 1185    0.0% / 0.2% / 0.61%
i       48462 / 48655 / 48994     96924 / 97310 / 97988            97398  3 / 3 / 3                   3  99.51% / 99.91% / 100.61%   16 / 220 / 590    0.02% / 0.23% / 0.61%
e       36337 / 36506 / 36689     72674 / 73012 / 73378            73096  4 / 4 / 5                   4  99.42% / 99.89% / 100.39%   2 / 163 / 422     0.0% / 0.22% / 0.58%
a       36135 / 36368 / 36669     72270 / 72736 / 73338            72724  4 / 5 / 5                   5  99.38% / 100.02% / 100.84%  10 / 239 / 614    0.01% / 0.33% / 0.84%
g       24329 / 24533 / 24741     48658 / 49066 / 49482            48960  6 / 6 / 6                   6  99.38% / 100.22% / 101.07%  24 / 182 / 522    0.05% / 0.37% / 1.07%
m       24063 / 24276 / 24500     48126 / 48552 / 49000            48635  7 / 7 / 7                   7  98.95% / 99.83% / 100.75%   1 / 161 / 509     0.0% / 0.33% / 1.05%
f       12173 / 12332 / 12450     24346 / 24664 / 24900            24647  8 / 9 / 10                  8  98.78% / 100.07% / 101.03%  9 / 127 / 301     0.04% / 0.52% / 1.22%
d       12129 / 12321 / 12499     24258 / 24642 / 24998            24639  8 / 9 / 10                  9  98.45% / 100.01% / 101.46%  11 / 133 / 381    0.04% / 0.54% / 1.55%
l       12113 / 12218 / 12315     24226 / 24436 / 24630            24506  8 / 10 / 11                10  98.86% / 99.72% / 100.51%   14 / 107 / 280    0.06% / 0.44% / 1.14%
u       11983 / 12108 / 12238     23966 / 24216 / 24476            24172  10 / 11 / 11               11  99.15% / 100.19% / 101.26%  20 / 127 / 304    0.08% / 0.53% / 1.26%
Min/Mean/Max
