simulating fixed probability counter with p=0.5 20 times for test chain of size 500
######################## Stats across all simulations ########################
Char    Counter Value    Expected Value      Real Value  Expected Rank      Real Rank  Accuracy Ratio              Absolute Error    Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  --------------------------  ----------------  ------------------------
r       83 / 97 / 112    166 / 194 / 224            191  1 / 1 / 1                  1  86.91% / 101.36% / 117.28%  1 / 11 / 33       0.52% / 5.65% / 17.28%
o       36 / 46 / 54     72 / 92 / 108               91  2 / 2 / 2                  2  79.12% / 100.88% / 118.68%  1 / 9 / 19        1.1% / 9.45% / 20.88%
i       17 / 26 / 31     34 / 52 / 62                52  3 / 3 / 4                  3  65.38% / 100.58% / 119.23%  0 / 5 / 18        0.0% / 9.81% / 34.62%
a       11 / 18 / 24     22 / 36 / 48                38  4 / 4 / 6                  4  57.89% / 95.53% / 126.32%   0 / 5 / 16        0.0% / 13.95% / 42.11%
e       11 / 16 / 22     22 / 32 / 44                35  3 / 5 / 6                  5  62.86% / 94.0% / 125.71%    1 / 5 / 13        2.86% / 13.43% / 37.14%
g       6 / 12 / 17      12 / 24 / 34                24  5 / 6 / 8                  6  50.0% / 100.42% / 141.67%   0 / 4 / 12        0.0% / 17.92% / 50.0%
m       6 / 9 / 12       12 / 18 / 24                17  6 / 8 / 10                 8  70.59% / 108.82% / 141.18%  1 / 3 / 7         5.88% / 19.41% / 41.18%
l       5 / 8 / 12       10 / 16 / 24                17  6 / 8 / 10                 7  58.82% / 92.94% / 141.18%   1 / 3 / 7         5.88% / 17.06% / 41.18%
f       3 / 7 / 10       6 / 14 / 20                 13  7 / 9 / 11                10  46.15% / 107.69% / 153.85%  1 / 3 / 7         7.69% / 25.38% / 53.85%
u       2 / 6 / 9        4 / 12 / 18                 13  7 / 10 / 11                9  30.77% / 92.31% / 138.46%   1 / 3 / 9         7.69% / 25.38% / 69.23%
d       2 / 4 / 7        4 / 8 / 14                   9  9 / 10 / 11               11  44.44% / 98.89% / 155.56%   1 / 3 / 5         11.11% / 28.89% / 55.56%
Min/Mean/Max
