simulating fixed probability counter with p=0.5 20 times for test chain of size 5000
######################## Stats across all simulations ########################
Char    Counter Value    Estimated Value       Real Value  Estimated Rank      Real Rank  Accuracy Ratio              Absolute Error    Relative Error
------  ---------------  ------------------  ------------  ----------------  -----------  --------------------------  ----------------  ----------------------
r       874 / 906 / 948  1748 / 1812 / 1896          1823  1 / 1 / 1                   1  95.89% / 99.41% / 104.0%    1 / 26 / 75       0.05% / 1.4% / 4.11%
o       464 / 486 / 521  928 / 972 / 1042             972  2 / 2 / 2                   2  95.47% / 99.99% / 107.2%    2 / 23 / 70       0.21% / 2.34% / 7.2%
i       211 / 232 / 261  422 / 464 / 522              466  3 / 3 / 3                   3  90.56% / 99.59% / 112.02%   2 / 19 / 56       0.43% / 4.14% / 12.02%
a       164 / 178 / 193  328 / 356 / 386              356  4 / 4 / 5                   4  92.13% / 100.06% / 108.43%  0 / 12 / 30       0.0% / 3.26% / 8.43%
e       159 / 174 / 193  318 / 348 / 386              350  4 / 5 / 5                   5  90.86% / 99.63% / 110.29%   0 / 15 / 36       0.0% / 4.31% / 10.29%
g       115 / 125 / 148  230 / 250 / 296              253  6 / 6 / 7                   6  90.91% / 99.13% / 117.0%    1 / 14 / 43       0.4% / 5.42% / 17.0%
m       106 / 122 / 135  212 / 244 / 270              248  6 / 7 / 7                   7  85.48% / 98.1% / 108.87%    0 / 15 / 36       0.0% / 5.93% / 14.52%
f       63 / 80 / 90     126 / 160 / 180              157  8 / 8 / 9                   8  80.25% / 101.78% / 114.65%  1 / 12 / 31       0.64% / 7.52% / 19.75%
u       56 / 66 / 81     112 / 132 / 162              131  8 / 10 / 11                 9  85.5% / 100.61% / 123.66%   3 / 12 / 31       2.29% / 9.24% / 23.66%
d       45 / 63 / 81     90 / 126 / 162               129  8 / 10 / 11                10  69.77% / 97.21% / 125.58%   1 / 11 / 39       0.78% / 8.76% / 30.23%
l       48 / 57 / 69     96 / 114 / 138               115  9 / 10 / 11                11  83.48% / 99.57% / 120.0%    1 / 9 / 23        0.87% / 7.91% / 20.0%
Min/Mean/Max
