simulating fixed probability counter with p=0.5 20 times for test chain of size 50000
######################## Stats across all simulations ########################
Char    Counter Value       Estimated Value          Real Value  Estimated Rank      Real Rank  Accuracy Ratio              Absolute Error    Relative Error
------  ------------------  ---------------------  ------------  ----------------  -----------  --------------------------  ----------------  ---------------------
r       9132 / 9214 / 9356  18264 / 18428 / 18712         18419  1 / 1 / 1                   1  99.16% / 100.05% / 101.59%  1 / 84 / 293      0.01% / 0.46% / 1.59%
o       4735 / 4849 / 4975  9470 / 9698 / 9950             9743  2 / 2 / 2                   2  97.2% / 99.54% / 102.12%    13 / 110 / 273    0.13% / 1.13% / 2.8%
i       2427 / 2473 / 2522  4854 / 4946 / 5044             4929  3 / 3 / 3                   3  98.48% / 100.33% / 102.33%  1 / 44 / 115      0.02% / 0.88% / 2.33%
a       1721 / 1808 / 1864  3442 / 3616 / 3728             3605  4 / 4 / 5                   4  95.48% / 100.33% / 103.41%  1 / 46 / 163      0.03% / 1.28% / 4.52%
e       1732 / 1788 / 1846  3464 / 3576 / 3692             3580  4 / 5 / 5                   5  96.76% / 99.89% / 103.13%   0 / 51 / 116      0.0% / 1.42% / 3.24%
m       1237 / 1271 / 1301  2474 / 2542 / 2602             2525  6 / 6 / 6                   6  97.98% / 100.7% / 103.05%   1 / 30 / 77       0.04% / 1.18% / 3.05%
g       1160 / 1208 / 1255  2320 / 2416 / 2510             2411  7 / 7 / 7                   7  96.23% / 100.19% / 104.11%  7 / 40 / 99       0.29% / 1.66% / 4.11%
f       597 / 619 / 657     1194 / 1238 / 1314             1232  8 / 8 / 10                  8  96.92% / 100.56% / 106.66%  2 / 25 / 82       0.16% / 2.05% / 6.66%
u       567 / 605 / 641     1134 / 1210 / 1282             1216  8 / 9 / 11                  9  93.26% / 99.44% / 105.43%   2 / 31 / 82       0.16% / 2.55% / 6.74%
l       575 / 593 / 637     1150 / 1186 / 1274             1183  8 / 10 / 11                10  97.21% / 100.18% / 107.69%  1 / 24 / 91       0.08% / 2.06% / 7.69%
d       542 / 582 / 616     1084 / 1164 / 1232             1157  9 / 10 / 11                11  93.69% / 100.55% / 106.48%  3 / 29 / 75       0.26% / 2.53% / 6.48%
Min/Mean/Max
