simulating fixed probability counter with p=0.5 20 times for test chain of size 500000
######################## Stats across all simulations ########################
Char    Counter Value          Estimated Value             Real Value  Estimated Rank      Real Rank  Accuracy Ratio              Absolute Error    Relative Error
------  ---------------------  ------------------------  ------------  ----------------  -----------  --------------------------  ----------------  ---------------------
r       91006 / 91407 / 91785  182012 / 182814 / 183570        182911  1 / 1 / 1                   1  99.51% / 99.95% / 100.36%   5 / 354 / 899     0.0% / 0.19% / 0.49%
o       48175 / 48480 / 48638  96350 / 96960 / 97276            96970  2 / 2 / 2                   2  99.36% / 99.99% / 100.32%   6 / 174 / 620     0.01% / 0.18% / 0.64%
i       24071 / 24264 / 24504  48142 / 48528 / 49008            48588  3 / 3 / 3                   3  99.08% / 99.87% / 100.86%   30 / 188 / 446    0.06% / 0.39% / 0.92%
e       18241 / 18409 / 18580  36482 / 36818 / 37160            36825  4 / 4 / 5                   4  99.07% / 99.98% / 100.91%   35 / 150 / 343    0.1% / 0.41% / 0.93%
a       18004 / 18355 / 18612  36008 / 36710 / 37224            36733  4 / 5 / 5                   5  98.03% / 99.94% / 101.34%   3 / 183 / 725     0.01% / 0.5% / 1.97%
m       12183 / 12321 / 12427  24366 / 24642 / 24854            24648  6 / 6 / 7                   6  98.86% / 99.97% / 100.84%   20 / 110 / 282    0.08% / 0.45% / 1.14%
g       12051 / 12193 / 12393  24102 / 24386 / 24786            24416  6 / 7 / 7                   7  98.71% / 99.88% / 101.52%   4 / 144 / 370     0.02% / 0.59% / 1.52%
f       6138 / 6190 / 6285     12276 / 12380 / 12570            12363  8 / 8 / 10                  8  99.3% / 100.14% / 101.67%   5 / 66 / 207      0.04% / 0.54% / 1.67%
d       6052 / 6141 / 6245     12104 / 12282 / 12490            12273  8 / 9 / 11                  9  98.62% / 100.07% / 101.77%  7 / 83 / 217      0.06% / 0.67% / 1.77%
l       6010 / 6093 / 6261     12020 / 12186 / 12522            12173  8 / 10 / 11                10  98.74% / 100.1% / 102.87%   5 / 90 / 349      0.04% / 0.74% / 2.87%
u       5937 / 6042 / 6130     11874 / 12084 / 12260            12100  9 / 11 / 11                11  98.13% / 99.86% / 101.32%   6 / 85 / 226      0.05% / 0.7% / 1.87%
Min/Mean/Max
