simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 100
######################## Stats across all simulations ########################
Char    Counter Value    Expected Value      Real Value  Expected Rank      Real Rank  Accuracy Ratio              Absolute Error    Relative Error
------  ---------------  ----------------  ------------  ---------------  -----------  --------------------------  ----------------  ------------------------
o       5 / 7 / 9        13 / 26 / 54                24  1 / 2 / 4                  2  54.17% / 114.58% / 225.0%   2 / 8 / 30        8.33% / 33.75% / 125.0%
r       6 / 7 / 9        18 / 26 / 54                27  1 / 2 / 3                  1  66.67% / 106.67% / 200.0%   1 / 8 / 27        3.7% / 29.63% / 100.0%
m       2 / 5 / 6        4 / 13 / 18                 10  2 / 4 / 7                  4  40.0% / 118.5% / 180.0%     1 / 4 / 8         10.0% / 37.5% / 80.0%
e       2 / 4 / 6        4 / 9 / 18                  10  2 / 4 / 7                  3  40.0% / 112.5% / 180.0%     1 / 3 / 8         10.0% / 33.5% / 80.0%
a       4 / 4 / 6        9 / 9 / 18                   9  3 / 5 / 6                  5  100.0% / 121.67% / 200.0%   0 / 2 / 9         0.0% / 21.67% / 100.0%
i       3 / 4 / 5        6 / 9 / 13                   6  3 / 6 / 7                  6  100.0% / 131.67% / 216.67%  0 / 2 / 7         0.0% / 31.67% / 116.67%
f       2 / 3 / 4        4 / 6 / 9                    4  6 / 7 / 9                  7  100.0% / 146.25% / 225.0%   0 / 2 / 5         0.0% / 46.25% / 125.0%
u       2 / 3 / 4        4 / 6 / 9                    4  5 / 8 / 9                  8  100.0% / 137.5% / 225.0%    0 / 2 / 5         0.0% / 37.5% / 125.0%
l       1 / 2 / 3        2 / 4 / 6                    3  8 / 9 / 10                 9  66.67% / 146.67% / 200.0%   1 / 2 / 3         33.33% / 56.67% / 100.0%
d       1 / 2 / 2        2 / 4 / 4                    2  9 / 10 / 10               10  100.0% / 180.0% / 200.0%    0 / 2 / 2         0.0% / 80.0% / 100.0%
g       1 / 1 / 1        2 / 2 / 2                    1  11 / 11 / 11              11  200.0% / 200.0% / 200.0%    1 / 1 / 1         100.0% / 100.0% / 100.0%
Min/Mean/Max
