simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 10000
######################## Stats across all simulations ########################
Char    Counter Value    Estimated Value       Real Value  Estimated Rank      Real Rank  Accuracy Ratio              Absolute Error     Relative Error
------  ---------------  ------------------  ------------  ----------------  -----------  --------------------------  -----------------  -------------------------
r       18 / 21 / 23     1235 / 3495 / 6991          3716  1 / 1 / 2                   1  33.23% / 95.24% / 188.13%   221 / 1118 / 3275  5.95% / 30.08% / 88.13%
o       17 / 19 / 20     873 / 1747 / 2471           1969  1 / 2 / 3                   2  44.34% / 83.3% / 125.5%     222 / 479 / 1096   11.27% / 24.35% / 55.66%
i       14 / 17 / 19     308 / 873 / 1747             933  3 / 4 / 9                   3  33.01% / 100.81% / 187.25%  60 / 255 / 814     6.43% / 27.34% / 87.25%
a       15 / 17 / 19     436 / 873 / 1747             749  3 / 5 / 7                   4  58.21% / 106.01% / 233.24%  124 / 226 / 998    16.56% / 30.23% / 133.24%
e       14 / 16 / 18     308 / 617 / 1235             696  3 / 4 / 8                   5  44.25% / 106.12% / 177.44%  79 / 207 / 539     11.35% / 29.71% / 77.44%
m       13 / 15 / 19     218 / 436 / 1747             479  2 / 6 / 9                   7  45.51% / 121.72% / 364.72%  43 / 238 / 1268    8.98% / 49.59% / 264.72%
g       13 / 15 / 16     218 / 436 / 617              494  6 / 8 / 11                  6  44.13% / 86.15% / 124.9%    58 / 142 / 276     11.74% / 28.79% / 55.87%
d       11 / 14 / 16     108 / 308 / 617              247  6 / 9 / 11                  9  43.72% / 124.51% / 249.8%   29 / 108 / 370     11.74% / 43.54% / 149.8%
l       11 / 13 / 15     108 / 218 / 436              253  6 / 10 / 11                 8  42.69% / 94.43% / 172.33%   35 / 71 / 183      13.83% / 28.02% / 72.33%
f       12 / 13 / 17     154 / 218 / 873              234  5 / 9 / 11                 10  65.81% / 108.01% / 373.08%  16 / 88 / 639      6.84% / 37.41% / 273.08%
u       11 / 13 / 16     108 / 218 / 617              230  4 / 9 / 11                 11  46.96% / 105.07% / 268.26%  12 / 92 / 387      5.22% / 39.85% / 168.26%
Min/Mean/Max
