simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 100000
######################## Stats across all simulations ########################
Char    Counter Value    Estimated Value          Real Value  Estimated Rank      Real Rank  Accuracy Ratio              Absolute Error        Relative Error
------  ---------------  ---------------------  ------------  ----------------  -----------  --------------------------  --------------------  ------------------------
r       25 / 27 / 30     13984 / 27968 / 79108         36608  1 / 1 / 2                   1  38.2% / 94.13% / 216.09%    2945 / 12031 / 42500  8.04% / 32.86% / 116.09%
o       24 / 26 / 28     9888 / 19776 / 39553          19604  1 / 2 / 3                   2  50.44% / 91.58% / 201.76%   172 / 5760 / 19949    0.88% / 29.38% / 101.76%
e       21 / 23 / 25     3495 / 6991 / 13984            7280  2 / 4 / 6                   5  48.01% / 108.55% / 192.09%  289 / 2693 / 6704     3.97% / 36.99% / 92.09%
i       21 / 23 / 25     3495 / 6991 / 13984            9831  3 / 4 / 8                   3  35.55% / 85.11% / 142.24%   57 / 2340 / 6336      0.58% / 23.8% / 64.45%
a       20 / 23 / 25     2471 / 6991 / 13984            7296  3 / 5 / 9                   4  33.87% / 106.21% / 191.67%  305 / 2849 / 6688     4.18% / 39.05% / 91.67%
m       19 / 22 / 23     1747 / 4943 / 6991             4767  4 / 6 / 9                   7  36.65% / 97.86% / 146.65%   176 / 1729 / 3020     3.69% / 36.28% / 63.35%
g       19 / 21 / 24     1747 / 3495 / 9888             4973  3 / 7 / 10                  6  35.13% / 87.2% / 198.83%    30 / 1532 / 4915      0.6% / 30.8% / 98.83%
f       17 / 20 / 22     873 / 2471 / 4943              2444  6 / 9 / 11                  8  35.72% / 97.58% / 202.25%   27 / 930 / 2499       1.1% / 38.06% / 102.25%
l       18 / 20 / 22     1235 / 2471 / 4943             2416  5 / 8 / 11                  9  51.12% / 103.88% / 204.59%  55 / 865 / 2527       2.28% / 35.81% / 104.59%
d       18 / 20 / 21     1235 / 2471 / 3495             2406  7 / 9 / 11                 10  51.33% / 94.04% / 145.26%   65 / 618 / 1171       2.7% / 25.69% / 48.67%
u       17 / 19 / 22     873 / 1747 / 4943              2375  7 / 10 / 11                11  36.76% / 89.43% / 208.13%   96 / 780 / 2568       4.04% / 32.83% / 108.13%
Min/Mean/Max
