simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 1000000
######################## Stats across all simulations ########################
Char    Counter Value    Estimated Value             Real Value  Estimated Rank      Real Rank  Accuracy Ratio              Absolute Error           Relative Error
------  ---------------  ------------------------  ------------  ----------------  -----------  --------------------------  -----------------------  -------------------------
r       32 / 34 / 36     158217 / 316435 / 632871        365412  1 / 1 / 2                   1  43.3% / 88.33% / 173.19%    48977 / 102240 / 267459  13.4% / 27.98% / 73.19%
o       29 / 32 / 35     55937 / 158217 / 447507         195811  1 / 2 / 5                   2  28.57% / 108.72% / 228.54%  27942 / 85177 / 251696   14.27% / 43.5% / 128.54%
i       28 / 30 / 33     39553 / 79108 / 223753           97398  2 / 4 / 6                   3  40.61% / 100.22% / 229.73%  14478 / 31535 / 126355   14.86% / 32.38% / 129.73%
e       28 / 29 / 31     39553 / 55937 / 111876           73096  2 / 4 / 9                   4  54.11% / 95.74% / 153.05%   6012 / 22235 / 38780     8.22% / 30.42% / 53.05%
g       27 / 29 / 32     27968 / 55937 / 158217           48960  3 / 6 / 8                   6  57.12% / 114.37% / 323.16%  6977 / 17819 / 109257    14.25% / 36.39% / 223.16%
a       27 / 29 / 32     27968 / 55937 / 158217           72724  2 / 5 / 9                   5  38.46% / 97.02% / 217.56%   6384 / 22375 / 85493     8.78% / 30.77% / 117.56%
m       26 / 28 / 30     19776 / 39553 / 79108            48635  4 / 6 / 10                  7  40.66% / 91.58% / 162.66%   7302 / 14572 / 30473     15.01% / 29.96% / 62.66%
l       24 / 27 / 29     9888 / 27968 / 55937             24506  6 / 10 / 11                10  40.35% / 107.7% / 228.26%   3462 / 9817 / 31431      14.13% / 40.06% / 128.26%
d       24 / 26 / 29     9888 / 19776 / 55937             24639  5 / 9 / 11                  9  40.13% / 103.11% / 227.03%  3329 / 10486 / 31298     13.51% / 42.56% / 127.03%
u       25 / 26 / 28     13984 / 19776 / 39553            24172  8 / 9 / 11                 11  57.85% / 91.07% / 163.63%   3796 / 6732 / 15381      15.7% / 27.85% / 63.63%
f       24 / 26 / 28     9888 / 19776 / 39553             24647  7 / 9 / 11                  8  40.12% / 96.03% / 160.48%   3321 / 6618 / 14906      13.47% / 26.85% / 60.48%
Min/Mean/Max
