simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 500
######################## Stats across all simulations ########################
Char    Counter Value    Estimated Value      Real Value  Estimated Rank      Real Rank  Accuracy Ratio              Absolute Error    Relative Error
------  ---------------  -----------------  ------------  ----------------  -----------  --------------------------  ----------------  -------------------------
r       10 / 12 / 15     76 / 154 / 436              171  1 / 1 / 2                   1  44.44% / 109.65% / 254.97%  17 / 82 / 265     9.94% / 47.84% / 154.97%
o       9 / 10 / 12      54 / 76 / 154                98  1 / 2 / 2                   2  55.1% / 84.59% / 157.14%    10 / 27 / 56      10.2% / 27.24% / 57.14%
i       5 / 8 / 10       13 / 38 / 76                 47  3 / 5 / 9                   3  27.66% / 85.0% / 161.7%     7 / 16 / 34       14.89% / 33.3% / 72.34%
a       6 / 8 / 9        18 / 38 / 54                 33  3 / 5 / 7                   5  54.55% / 102.42% / 163.64%  5 / 10 / 21       15.15% / 30.61% / 63.64%
e       6 / 8 / 10       18 / 38 / 76                 43  3 / 4 / 7                   4  41.86% / 105.12% / 176.74%  5 / 12 / 33       11.63% / 28.14% / 76.74%
g       6 / 7 / 9        18 / 26 / 54                 28  3 / 5 / 7                   7  64.29% / 116.43% / 192.86%  2 / 11 / 26       7.14% / 38.57% / 92.86%
m       6 / 7 / 10       18 / 26 / 76                 31  3 / 6 / 8                   6  58.06% / 95.16% / 245.16%   5 / 10 / 45       16.13% / 30.65% / 145.16%
d       4 / 5 / 6        9 / 13 / 18                  12  7 / 9 / 10                  9  75.0% / 112.08% / 150.0%    1 / 3 / 6         8.33% / 22.08% / 50.0%
u       4 / 5 / 7        9 / 13 / 26                  15  6 / 9 / 11                  8  60.0% / 104.67% / 173.33%   2 / 4 / 11        13.33% / 26.0% / 73.33%
f       3 / 5 / 8        6 / 13 / 38                  12  5 / 10 / 11                10  50.0% / 113.75% / 316.67%   1 / 5 / 26        8.33% / 41.25% / 216.67%
l       3 / 5 / 6        6 / 13 / 18                  10  8 / 10 / 11                11  60.0% / 115.0% / 180.0%     1 / 3 / 8         10.0% / 33.0% / 80.0%
Min/Mean/Max
