simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 5000
######################## Stats across all simulations ########################
Char    Counter Value    Expected Value       Real Value  Expected Rank      Real Rank  Accuracy Ratio              Absolute Error    Relative Error
------  ---------------  -----------------  ------------  ---------------  -----------  --------------------------  ----------------  -------------------------
r       16 / 19 / 21     617 / 1747 / 3495          1789  1 / 1 / 3                  1  34.49% / 95.26% / 195.36%   42 / 460 / 1706   2.35% / 25.71% / 95.36%
o       15 / 17 / 19     436 / 873 / 1747            992  1 / 2 / 3                  2  43.95% / 89.92% / 176.11%   119 / 321 / 755   12.0% / 32.39% / 76.11%
i       13 / 15 / 18     218 / 436 / 1235            477  2 / 4 / 6                  3  45.7% / 111.57% / 258.91%   41 / 229 / 758    8.6% / 48.05% / 158.91%
e       12 / 15 / 16     154 / 436 / 617             373  3 / 4 / 7                  5  41.29% / 112.53% / 165.42%  63 / 126 / 244    16.89% / 33.69% / 65.42%
a       12 / 14 / 16     154 / 308 / 617             403  3 / 4 / 7                  4  38.21% / 88.36% / 153.1%    33 / 110 / 249    8.19% / 27.17% / 61.79%
m       12 / 13 / 15     154 / 218 / 436             249  4 / 7 / 9                  6  61.85% / 86.55% / 175.1%    31 / 77 / 187     12.45% / 30.84% / 75.1%
g       11 / 12 / 16     108 / 154 / 617             223  4 / 8 / 11                 7  48.43% / 86.35% / 276.68%   5 / 78 / 394      2.24% / 35.13% / 176.68%
f       10 / 12 / 14     76 / 154 / 308              128  6 / 9 / 11                 9  59.38% / 112.66% / 240.62%  20 / 47 / 180     15.62% / 36.72% / 140.62%
u       9 / 11 / 13      54 / 108 / 218              137  5 / 8 / 11                 8  39.42% / 91.97% / 159.12%   17 / 39 / 83      12.41% / 28.54% / 60.58%
l       9 / 11 / 13      54 / 108 / 218              117  7 / 10 / 11               10  46.15% / 98.29% / 186.32%   9 / 41 / 101      7.69% / 34.79% / 86.32%
d       9 / 11 / 13      54 / 108 / 218              112  5 / 9 / 11                11  48.21% / 111.07% / 194.64%  4 / 38 / 106      3.57% / 34.11% / 94.64%
Min/Mean/Max
