simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 50000
######################## Stats across all simulations ########################
Char    Counter Value    Estimated Value         Real Value  Estimated Rank      Real Rank  Accuracy Ratio              Absolute Error       Relative Error
------  ---------------  --------------------  ------------  ----------------  -----------  --------------------------  -------------------  ------------------------
r       23 / 26 / 29     6991 / 19776 / 55937         18419  1 / 1 / 2                   1  37.96% / 106.04% / 303.69%  1357 / 8363 / 37518  7.37% / 45.41% / 203.69%
o       21 / 24 / 27     3495 / 9888 / 27968           9743  1 / 2 / 3                   2  35.87% / 107.84% / 287.06%  145 / 4410 / 18225   1.49% / 45.26% / 187.06%
i       20 / 22 / 23     2471 / 4943 / 6991            4929  2 / 3 / 5                   3  50.13% / 90.79% / 141.83%   14 / 1287 / 2458     0.28% / 26.11% / 49.87%
e       18 / 21 / 23     1235 / 3495 / 6991            3580  2 / 5 / 9                   5  34.5% / 94.27% / 195.28%    85 / 1228 / 3411     2.37% / 34.29% / 95.28%
a       19 / 21 / 22     1747 / 3495 / 4943            3605  3 / 5 / 9                   4  48.46% / 90.78% / 137.12%   110 / 1135 / 1858    3.05% / 31.49% / 51.54%
g       18 / 20 / 22     1235 / 2471 / 4943            2411  4 / 7 / 9                   7  51.22% / 91.1% / 205.02%    60 / 618 / 2532      2.49% / 25.64% / 105.02%
m       18 / 20 / 24     1235 / 2471 / 9888            2525  2 / 6 / 8                   6  48.91% / 104.54% / 391.6%   54 / 816 / 7363      2.14% / 32.3% / 291.6%
f       16 / 18 / 19     617 / 1235 / 1747             1232  6 / 9 / 11                  8  50.08% / 96.37% / 141.8%    3 / 355 / 615        0.24% / 28.83% / 49.92%
l       15 / 18 / 20     436 / 1235 / 2471             1183  5 / 9 / 11                 10  36.86% / 106.99% / 208.88%  52 / 508 / 1288      4.4% / 42.92% / 108.88%
u       16 / 18 / 20     617 / 1235 / 2471             1216  6 / 9 / 11                  9  50.74% / 102.11% / 203.21%  19 / 377 / 1255      1.56% / 30.99% / 103.21%
d       15 / 17 / 20     436 / 873 / 2471              1157  7 / 10 / 11                11  37.68% / 86.86% / 213.57%   78 / 381 / 1314      6.74% / 32.96% / 113.57%
Min/Mean/Max
