simulating logarithmic decreasing probability counter with base=1.4142135623730951 20 times for test chain of size 500000
######################## Stats across all simulations ########################
Char    Counter Value    Estimated Value            Real Value  Estimated Rank      Real Rank  Accuracy Ratio              Absolute Error          Relative Error
------  ---------------  -----------------------  ------------  ----------------  -----------  --------------------------  ----------------------  -------------------------
r       30 / 32 / 35     79108 / 158217 / 447507        182911  1 / 1 / 2                   1  43.25% / 110.9% / 244.66%   24694 / 61813 / 264596  13.5% / 33.79% / 144.66%
o       29 / 30 / 32     55937 / 79108 / 158217          96970  1 / 2 / 3                   2  57.68% / 86.44% / 163.16%   14906 / 25233 / 61247   15.37% / 26.02% / 63.16%
a       26 / 28 / 30     19776 / 39553 / 79108           36733  2 / 5 / 7                   5  53.84% / 116.33% / 215.36%  2820 / 13771 / 42375    7.68% / 37.49% / 115.36%
e       24 / 28 / 31     9888 / 39553 / 111876           36825  2 / 4 / 9                   4  26.85% / 108.86% / 303.8%   2728 / 13796 / 75051    7.41% / 37.46% / 203.8%
i       25 / 28 / 31     13984 / 39553 / 111876          48588  3 / 4 / 8                   3  28.78% / 95.98% / 230.25%   7349 / 22183 / 63288    15.13% / 45.66% / 130.25%
m       25 / 27 / 28     13984 / 27968 / 39553           24648  3 / 6 / 9                   6  56.73% / 109.58% / 160.47%  3320 / 8575 / 14905     13.47% / 34.79% / 60.47%
g       23 / 26 / 29     6991 / 19776 / 55937            24416  4 / 6 / 9                   7  28.63% / 94.32% / 229.1%    3552 / 10271 / 31521    14.55% / 42.07% / 129.1%
d       23 / 24 / 26     6991 / 9888 / 19776             12273  7 / 9 / 11                  9  56.96% / 87.53% / 161.13%   1711 / 3887 / 7503      13.94% / 31.67% / 61.13%
l       22 / 24 / 26     4943 / 9888 / 19776             12173  7 / 9 / 11                 10  40.61% / 100.78% / 162.46%  1811 / 4033 / 7603      14.88% / 33.13% / 62.46%
u       22 / 24 / 27     4943 / 9888 / 27968             12100  6 / 9 / 11                 11  40.85% / 101.53% / 231.14%  1884 / 4835 / 15868     15.57% / 39.96% / 131.14%
f       22 / 24 / 26     4943 / 9888 / 19776             12363  8 / 10 / 11                 8  39.98% / 86.4% / 159.96%    1621 / 3395 / 7420      13.11% / 27.46% / 60.02%
Min/Mean/Max
